epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,3962.7,0.60574,1.26446,0.59502,1.05888,0.86161,0.81335,0.85682,0.76106,0.86029,0.81567,0.85383,0.75384,0.47561,1.48608,0.61595,1.00824,0.0067,0.0067,0.0067
52,4039.88,0.60679,1.27605,0.5945,1.05443,0.86406,0.81368,0.8614,0.76308,0.85163,0.81413,0.85386,0.75594,0.47483,1.48528,0.60739,1.0064,0.006634,0.006634,0.006634
53,4117.47,0.5994,1.24579,0.583,1.04814,0.86617,0.80884,0.86186,0.76367,0.84651,0.81656,0.85414,0.75732,0.47455,1.48158,0.60732,1.0072,0.006568,0.006568,0.006568
54,4193.85,0.60822,1.27728,0.59184,1.0561,0.86353,0.81664,0.86421,0.76451,0.87368,0.81011,0.86032,0.75835,0.47314,1.47858,0.60784,1.00391,0.006502,0.006502,0.006502
55,4270.43,0.59163,1.24811,0.58312,1.05015,0.86382,0.81602,0.8625,0.76568,0.8616,0.81528,0.85791,0.75936,0.47058,1.47838,0.60884,1.00047,0.006436,0.006436,0.006436
56,4346.83,0.58879,1.22971,0.57361,1.04804,0.86785,0.81452,0.8641,0.76731,0.86403,0.81281,0.85884,0.76002,0.47009,1.47687,0.60596,1.00052,0.00637,0.00637,0.00637
57,4424.88,0.59077,1.23932,0.57065,1.04511,0.8668,0.81626,0.86331,0.76641,0.8638,0.81571,0.85827,0.75862,0.46886,1.47619,0.60129,0.9993,0.006304,0.006304,0.006304
58,4502.22,0.58703,1.22328,0.56877,1.0415,0.86143,0.81866,0.86208,0.76661,0.8591,0.82,0.85743,0.75669,0.46768,1.4746,0.60189,0.99741,0.006238,0.006238,0.006238
59,4579.04,0.58412,1.22218,0.56031,1.04237,0.86351,0.81912,0.8626,0.76559,0.86194,0.81912,0.85735,0.75753,0.46605,1.46968,0.60285,0.99507,0.006172,0.006172,0.006172
60,4656.24,0.59495,1.2574,0.56946,1.04531,0.86243,0.82328,0.86376,0.7672,0.86125,0.82294,0.85852,0.75887,0.46495,1.4658,0.59738,0.99422,0.006106,0.006106,0.006106
61,4733.41,0.58764,1.23203,0.55755,1.03672,0.86085,0.82304,0.86422,0.76901,0.85611,0.82537,0.85894,0.75958,0.4635,1.46666,0.59752,0.99348,0.00604,0.00604,0.00604
62,4812.21,0.59303,1.24595,0.55996,1.03809,0.8588,0.82389,0.86327,0.76991,0.85683,0.82295,0.85822,0.75985,0.46151,1.4642,0.59585,0.99237,0.005974,0.005974,0.005974
63,4889.3,0.5854,1.22583,0.55753,1.03431,0.86469,0.8226,0.8643,0.76924,0.85264,0.82695,0.85977,0.76087,0.46029,1.4667,0.59268,0.99104,0.005908,0.005908,0.005908
64,4967.65,0.58064,1.20182,0.55038,1.0349,0.86428,0.82265,0.86363,0.76902,0.86115,0.82096,0.85911,0.76126,0.46073,1.46521,0.59065,0.99134,0.005842,0.005842,0.005842
65,5044.92,0.58551,1.23107,0.55634,1.03624,0.85688,0.82588,0.8632,0.77025,0.85324,0.82506,0.85932,0.76235,0.46005,1.46614,0.58941,0.99091,0.005776,0.005776,0.005776
66,5123,0.58138,1.22127,0.54155,1.03764,0.85269,0.8303,0.86344,0.77147,0.8496,0.83026,0.85954,0.76287,0.45998,1.46587,0.58984,0.99087,0.00571,0.00571,0.00571
67,5199.33,0.57811,1.22299,0.5408,1.03352,0.85408,0.83172,0.86303,0.77082,0.85233,0.83093,0.85859,0.7632,0.45966,1.46572,0.58914,0.99013,0.005644,0.005644,0.005644
